Debit card,2008-12-04 14:23:44,2359-04-13 04:57:35,019.354.840-00,28421,7185,70121,0,7495
Food voucher,2013-04-25 14:21:18,2403-03-04 09:04:33,556.619.260-00,23853,4454,86216,1,5120
Credit card,2014-10-15 19:16:40,2417-11-22 18:19:51,272.803.150-00,43193,6036,59496,2,5779
Food voucher,2006-11-28 07:39:05,2339-02-04 14:57:32,005.149.290-00,55503,9097,28002,3,6866
Debit card,2017-11-14 22:45:27,2448-09-27 06:26:40,306.634.310-00,11421,6555,43291,4,7615
Credit card,2016-04-12 22:34:08,2432-10-28 09:22:45,576.163.920-00,69263,1834,61036,5,3651
Food voucher,2005-10-21 13:14:41,2328-01-25 01:33:51,680.147.380-00,21182,2307,99077,6,199
Bank transfer,2013-11-18 18:45:13,2408-11-04 09:15:18,098.719.350-00,44891,5380,73861,7,1962
Food voucher,2006-11-23 16:48:14,2338-12-16 11:34:26,255.068.460-00,91940,8987,80614,8,0
Food voucher,2006-04-02 17:51:57,2332-07-10 18:42:14,352.111.260-00,68766,1707,99376,9,7603
Credit card,2003-11-29 09:49:34,2309-02-08 10:09:34,903.548.060-00,80531,1024,46557,10,5499
Debit card,2015-11-23 17:20:08,2428-12-18 16:26:23,204.274.500-00,25055,3646,97918,11,4059
Food voucher,2017-09-01 21:22:17,2446-09-17 06:56:32,181.091.160-00,92843,8711,21344,12,7264
Debit card,2011-06-21 23:39:28,2384-09-20 11:21:49,771.731.970-00,10948,5266,74685,13,1537
Bank transfer,2007-04-12 17:36:46,2342-10-21 20:04:52,840.560.770-00,0,2689,0,14,256
Bank transfer,2009-04-22 11:26:50,2363-01-27 17:12:41,711.862.080-00,29859,9535,80015,15,6198
Bank transfer,2015-06-25 02:43:32,2015-06-25 19:42:05,576.163.920-00,38817,7401,69344,16,2364
Money,2015-03-11 18:40:39,2421-12-01 10:36:19,330.549.190-00,38175,5710,23603,17,3720
Money,2004-11-16 10:23:30,2318-10-13 13:21:08,393.382.570-00,10731,8516,22418,18,2209
